Name,Artist,Genre,Price,Quantity
APT,Rose & Brunor Mars,Pop,100,14
Cau Vinh Tuy,Wren Evans,Vpop,10,25
Chung ta cua hien tai,Son Tung MTP,Vpop,10,15
Dai lo mat troi,Chillies,Vpop,20,10
Dat trai tim len ban,Tung,Vpop,20,20
Drama,Aespa,Kpop,20,11
Hop on da show,LowG & Tlinh,Vpop,15,20
How you like that,Blackpink,Kpop,20,10
Mat ket noi,Duong Domic,Vpop,10,10
Nang tho,Hoang Dung,Vpop,15,16
Neu ngay ay,Soobin Hoang Son,Vpop,10,10
Truoc khi em ton tai,Thang,Vpop,10,15
Tung quen,Wren Evans,Vpop,15,10
Vung Ky Uc,Chillies,Vpop,10,10
Waiting for you,Mono,Vpop,20,20
Xin dung lang im,Soobin,Vpop,10,10
Nhat Anh,Nhat Anh,VIET NAM,10,10
